Losers,Rounds,Scores_Losers,Scores_Winners,Winners,Years
NISHIKORI,4,61601 ,2676 ,MURRAY,2017
CILIC,4,331 ,666 ,WAWRINKA,2017
CARRENO BUSTA,4,20 ab.,62 ,NADAL,2017
DJOKOVIC,4,6530 ,766 ,THIEM,2017
MURRAY,5,7637631 ,66576 ,WAWRINKA,2017
THIEM,5,340 ,666 ,NADAL,2017
WAWRINKA,6,231 ,666 ,NADAL,2017
BERDYCH,4,353 ,676 ,DJOKOVIC,2016
GOFFIN,4,66741 ,4766 ,THIEM,2016
RAMOS,4,2167 ,667 ,WAWRINKA,2016
GASQUET,4,76302 ,5766 ,MURRAY,2016
THIEM,5,214 ,666 ,DJOKOVIC,2016
WAWRINKA,5,4262 ,6646 ,MURRAY,2016
MURRAY,6,6124 ,3666 ,DJOKOVIC,2016
NADAL,4,531 ,766 ,DJOKOVIC,2015
FERRER,4,64271 ,7656 ,MURRAY,2015
NISHIKORI,4,14663 ,66436 ,TSONGA,2015
FEDERER,4,4364 ,667 ,WAWRINKA,2015
MURRAY,5,33771 ,66556 ,DJOKOVIC,2015
TSONGA,5,371634 ,6676 ,WAWRINKA,2015
DJOKOVIC,6,6434 ,4666 ,WAWRINKA,2015
FERRER,4,6401 ,4666 ,NADAL,2014
MONFILS,4,41660 ,66416 ,MURRAY,2014
BERDYCH,4,324 ,666 ,GULBIS,2014
RAONIC,4,5654 ,776 ,DJOKOVIC,2014
MURRAY,5,321 ,666 ,NADAL,2014
GULBIS,5,3363 ,6636 ,DJOKOVIC,2014
DJOKOVIC,6,6524 ,3766 ,NADAL,2014
HAAS,4,3655,677,DJOKOVIC,2013
WAWRINKA,4,231,666,NADAL,2013
ROBREDO,4,211,666,FERRER,2013
FEDERER,4,533,766,TSONGA,2013
DJOKOVIC,5,461737,63669,NADAL,2013
TSONGA,5,1632,676,FERRER,2013
FERRER,6,323,666,NADAL,2013
TSONGA,4,177661,65576,DJOKOVIC,2012
DEL POTRO,4,674203,36666,FEDERER,2012
MURRAY,4,47332,6666,FERRER,2012
ALMAGRO,4,6423,766,NADAL,2012
FEDERER,5,453,676,DJOKOVIC,2012
FERRER,5,221,666,NADAL,2012
DJOKOVIC,6,4365,6627,NADAL,2012
SODERLING,4,4163 ,667 ,NADAL,2011
CHELA,4,6252 ,776 ,MURRAY,2011
MONFILS,4,4363 ,667 ,FEDERER,2011
FOGNINI,4, ,w.o. ,DJOKOVIC,2011
MURRAY,5,454 ,676 ,NADAL,2011
DJOKOVIC,5,653665 ,7637 ,FEDERER,2011
FEDERER,6,56371 ,7756 ,NADAL,2011
FEDERER,4,6354,3676,SODERLING,2010
YOUZHNY,4,312,666,BERDYCH,2010
DJOKOVIC,4,662634,32676,MELZER,2010
ALMAGRO,4,62634,776,NADAL,2010
BERDYCH,5,36733,63566,SODERLING,2010
MELZER,5,2366,667,NADAL,2010
SODERLING,6,424,666,NADAL,2010
DAVYDENKO,4,131,666,SODERLING,2009
MURRAY,4,3604,6366,GONZALEZ,2009
ROBREDO,4,342,666,DEL POTRO,2009
MONFILS,4,6624,766,FEDERER,2009
GONZALEZ,5,35764,67546,SODERLING,2009
DEL POTRO,5,662614,37266,FEDERER,2009
SODERLING,6,1614,676,FEDERER,2009
GONZALEZ,4,6234,2666,FEDERER,2008
FERRER,4,3631,6366,MONFILS,2008
GULBIS,4,5635,777,DJOKOVIC,2008
ALMAGRO,4,111,666,NADAL,2008
MONFILS,5,2735,6567,FEDERER,2008
DJOKOVIC,5,4263,667,NADAL,2008
FEDERER,6,130,666,NADAL,2008
ROBREDO,4,5612,7166,FEDERER,2007
CANAS,4,544,766,DAVYDENKO,2007
ANDREEV,4,333,666,DJOKOVIC,2007
MOYA,4,430,666,NADAL,2007
DAVYDENKO,5,56567,777,FEDERER,2007
DJOKOVIC,5,542,766,NADAL,2007
FEDERER,6,3634,6466,NADAL,2007
ANCIC,4,434,666,FEDERER,2006
DAVYDENKO,4,3364,6626,NALBANDIAN,2006
BENNETEAU,4,223,666,LJUBICIC,2006
DJOKOVIC,4,44,66ab.,NADAL,2006
NALBANDIAN,5,642,365ab.,FEDERER,2006
LJUBICIC,5,4267,667,NADAL,2006
FEDERER,6,61464,1667,NADAL,2006
HANESCU,4,2633,676,FEDERER,2005
FERRER,4,520,766,NADAL,2005
ROBREDO,4,61264,36646,DAVYDENKO,2005
CANAS,4,26634,63166,PUERTA,2005
FEDERER,5,3643,6466,NADAL,2005
DAVYDENKO,5,37644,65266,PUERTA,2005
PUERTA,6,76315,6667,NADAL,2005
KUERTEN,4,26466,6367,NALBANDIAN,2004
HEWITT,4,322,666,GAUDIO,2004
MOYA,4,5633,776,CORIA,2004
CHELA,4,244,666,HENMAN,2004
NALBANDIAN,5,3650,676,GAUDIO,2004
HENMAN,5,6405,3667,CORIA,2004
CORIA,6,66416,03668,GAUDIO,2004
ROBREDO,4,66452,23676,COSTA,2003
GONZALEZ,4,16174,63656,FERRERO,2003
MOYA,4,34766,66548,VERKERK,2003
AGASSI,4,6324,4666,CORIA,2003
COSTA,5,3654,676,FERRERO,2003
CORIA,5,64460,767,VERKERK,2003
VERKERK,6,132,666,FERRERO,2003
CANAS,4,567340,73666,COSTA,2002
PAVEL,4,6555,777,CORRETJA,2002
AGASSI,4,3753,6576,FERRERO,2002
GROSJEAN,4,322,666,SAFIN,2002
CORRETJA,5,3463,6636,COSTA,2002
SAFIN,5,324,666,FERRERO,2002
FERRERO,6,1063,6646,COSTA,2002
KAFELNIKOV,4,16634,6376,KUERTEN,2001
HEWITT,4,421,666,FERRERO,2001
AGASSI,4,6113,1666,GROSJEAN,2001
FEDERER,4,545,767,CORRETJA,2001
FERRERO,5,443,666,KUERTEN,2001
GROSJEAN,5,6244,766,CORRETJA,2001
CORRETJA,6,73520,6766,KUERTEN,2001
COSTA,4,4464,6626,SQUILLARI,2000
SAFIN,4,4365,6647,NORMAN,2000
KAFELNIKOV,4,36642,63466,KUERTEN,2000
CORRETJA,4,442,666,FERRERO,2000
SQUILLARI,5,143,666,NORMAN,2000
FERRERO,5,56643,74266,KUERTEN,2000
NORMAN,6,23666,6627,KUERTEN,2000
RIOS,4,642763,7666,HRBATY,1999
FILIPPINI,4,220,666,AGASSI,1999
CORRETJA,4,220,666,MELIGENI,1999
KUERTEN,4,544,766,MEDVEDEV,1999
HRBATY,5,46664,6736,AGASSI,1999
MELIGENI,5,56466,7367,MEDVEDEV,1999
MEDVEDEV,6,66434,12666,AGASSI,1999
MUSTER,4,4263,6646,MANTILLA,1998
RIOS,4,1624,6266,MOYA,1998
DEWULF,4,543,766,CORRETJA,1998
ARAZI,4,62653,3676,PIOLINE,1998
MANTILLA,5,7242,5666,MOYA,1998
PIOLINE,5,342,666,CORRETJA,1998
CORRETJA,6,353,676,MOYA,1998
NORMAN,4,27243 ,6666 ,DEWULF,1997
KAFELNIKOV,4,27604 ,65266 ,KUERTEN,1997
BLANCO,4,3633 ,676 ,RAFTER,1997
ARAZI,4,6322 ,4666 ,BRUGUERA,1997
DEWULF,5,16164 ,6367 ,KUERTEN,1997
RAFTER,5,761561 ,6677 ,BRUGUERA,1997
BRUGUERA,6,342 ,666 ,KUERTEN,1997
COURIER,4,746444 ,64666 ,SAMPRAS,1996
KRAJICEK,4,34742 ,6666 ,KAFELNIKOV,1996
KARBACHER,4,66350 ,44676 ,ROSSET,1996
PIOLINE,4,4632 ,6466 ,STICH,1996
SAMPRAS,5,6402 ,766 ,KAFELNIKOV,1996
ROSSET,5,342 ,666 ,STICH,1996
STICH,6,64564 ,777 ,KAFELNIKOV,1996
AGASSI,4,435 ,667 ,KAFELNIKOV,1995
COSTA,4,267652 ,63676 ,MUSTER,1995
VOINEA,4,501 ,766 ,CHANG,1995
FURLAN,4,252 ,676 ,BRUGUERA,1995
KAFELNIKOV,5,404 ,666 ,MUSTER,1995
BRUGUERA,5,46560 ,677 ,CHANG,1995
CHANG,6,524 ,766 ,MUSTER,1995
SAMPRAS,4,4744 ,6566 ,COURIER,1994
MEDVEDEV,4,325 ,667 ,BRUGUERA,1994
IVANISEVIC,4,433 ,666 ,BERASATEGUI,1994
DREEKMANN,4,6716301 ,36766 ,LARSSON,1994
COURIER,5,3733 ,6566 ,BRUGUERA,1994
LARSSON,5,341 ,666 ,BERASATEGUI,1994
BERASATEGUI,6,3561 ,6726 ,BRUGUERA,1994
SAMPRAS,4,3614 ,6466 ,BRUGUERA,1993
EDBERG,4,07354 ,6676 ,MEDVEDEV,1993
NOVACEK,4,63634 ,36366 ,KRAJICEK,1993
STICH,4,1605 ,6467 ,COURIER,1993
MEDVEDEV,5,042 ,666 ,BRUGUERA,1993
KRAJICEK,5,17252 ,6676 ,COURIER,1993
COURIER,6,46263 ,62636 ,BRUGUERA,1993
IVANISEVIC,4,2165 ,6627 ,COURIER,1992
SAMPRAS,4,6621 ,766 ,AGASSI,1992
KULTI,4,786333 ,63666 ,LECONTE,1992
CHERKASOV,4,47324 ,6666 ,KORDA,1992
AGASSI,5,322 ,666 ,COURIER,1992
LECONTE,5,2643 ,676 ,KORDA,1992
KORDA,6,521 ,766 ,COURIER,1992
EDBERG,4,4634 ,6266 ,COURIER,1991
DAVIN,4,444 ,666 ,STICH,1991
HLASEK,4,311 ,666 ,AGASSI,1991
CHANG,4,442 ,666 ,BECKER,1991
STICH,5,27824 ,6666 ,COURIER,1991
BECKER,5,5361 ,7636 ,AGASSI,1991
AGASSI,6,64614 ,36266 ,COURIER,1991
LECONTE,4,6534 ,3766 ,SVENSSON,1990
CHANG,4,2162 ,6646 ,AGASSI,1990
CHAMPION,4,334 ,666 ,GOMEZ,1990
IVANISEVIC,4,2643 ,6466 ,MUSTER,1990
SVENSSON,5,1463 ,6636 ,AGASSI,1990
MUSTER,5,515 ,767 ,GOMEZ,1990
AGASSI,6,3644 ,6266 ,GOMEZ,1990
AGENOR,4,46466 ,6267 ,CHANG,1989
WILANDER,4,405 ,667 ,CHESNOKOV,1989
MANCINI,4,1365 ,667 ,EDBERG,1989
BERGER,4,341 ,666 ,BECKER,1989
CHESNOKOV,5,17645 ,6577 ,CHANG,1989
BECKER,5,34762 ,66536 ,EDBERG,1989
EDBERG,6,16642 ,63466 ,CHANG,1989
LENDL,4,652 ,776 ,SVENSSON,1988
CHESNOKOV,4,326 ,667 ,LECONTE,1988
SANCHEZ,4,7634 ,6766 ,WILANDER,1988
PEREZ-RO...,4,224 ,666 ,AGASSI,1988
SVENSSON,5,623 ,766 ,LECONTE,1988
AGASSI,5,62570 ,46756 ,WILANDER,1988
LECONTE,6,521 ,766 ,WILANDER,1988
GOMEZ,4,7411 ,5666 ,LENDL,1987
NOVACEK,4,612 ,766 ,MECIR,1987
NOAH,4,432 ,666 ,WILANDER,1987
CONNORS,4,335 ,667 ,BECKER,1987
MECIR,5,336 ,667 ,LENDL,1987
BECKER,5,412 ,666 ,WILANDER,1987
WILANDER,6,5266 ,7637 ,LENDL,1987
GOMEZ,4,7600,6766,LENDL,1986
VILAS,4,6666,3777,KRIEK,1986
BECKER,4,6420,2666,PERNFORS,1986
CHESNOKOV,4,343,666,LECONTE,1986
KRIEK,5,210,666,LENDL,1986
LECONTE,5,6563,2776,PERNFORS,1986
PERNFORS,6,324,666,LENDL,1986
NYSTROM,4,72265 ,66637 ,McENROE,1985
LECONTE,4,4675 ,6767 ,WILANDER,1985
EDBERG,4,436 ,667 ,CONNORS,1985
JAITE,4,424 ,666 ,LENDL,1985
McENROE,5,155 ,677 ,WILANDER,1985
CONNORS,5,231 ,666 ,LENDL,1985
LENDL,6,6422 ,3666 ,WILANDER,1985
ARIAS,4,344 ,666 ,McENROE,1984
SUNDSTROM,4,614 ,766 ,CONNORS,1984
NOAH,4,66633 ,72366 ,WILANDER,1984
GOMEZ,4,3743 ,6666 ,LENDL,1984
CONNORS,5,512 ,766 ,McENROE,1984
WILANDER,5,335 ,667 ,LENDL,1984
McENROE,6,66455 ,32677 ,LENDL,1984
CONNORS,4,446 ,667 ,ROGER-VA...,1983
LENDL,4,6270 ,7656 ,NOAH,1983
VILAS,4,27161 ,66646 ,HIGUERAS,1983
McENROE,4,6240 ,1666 ,WILANDER,1983
ROGER-VA...,5,300 ,666 ,NOAH,1983
HIGUERAS,5,5730 ,7666 ,WILANDER,1983
WILANDER,6,256 ,677 ,NOAH,1983
CONNORS,4,222 ,666 ,HIGUERAS,1982
NOAH,4,634 ,766 ,VILAS,1982
McNAMARA,4,222 ,666 ,CLERC,1982
GERULAITIS,4,3364 ,6646 ,WILANDER,1982
HIGUERAS,5,136 ,667 ,VILAS,1982
CLERC,5,5265 ,7617 ,WILANDER,1982
VILAS,6,6604 ,1766 ,WILANDER,1982
TAROCZY,4,332 ,666 ,BORG,1981
NOAH,4,6444 ,3666 ,PECCI,1981
McENROE,4,445 ,667 ,LENDL,1981
CONNORS,4,62650 ,46476 ,CLERC,1981
PECCI,5,445 ,667 ,BORG,1981
CLERC,5,64662 ,36476 ,LENDL,1981
LENDL,6,16261 ,64636 ,BORG,1981
BARAZZUTTI,4,033 ,666 ,BORG,1980
VILAS,4,6465 ,1677 ,SOLOMON,1980
GILDEMEISTER,4,400 ,666 ,CONNORS,1980
FIBAK,4,37463 ,65636 ,GERULAITIS,1980
SOLOMON,5,220 ,666 ,BORG,1980
CONNORS,5,16724 ,63666 ,GERULAITIS,1980
GERULAITIS,6,412 ,666 ,BORG,1980
